institution_id,raw_school_text,suggested_institution_name,wikidata_id,wikipedia_url,country,locality,latitude,longitude,institution_type,confidence,notes,historical_match_name,historical_acara_id,historical_source,review_status,resolved_school_name,resolved_acara_id,resolved_wikidata_id,resolved_country,resolved_state,resolved_suburb,resolved_postcode,resolved_address,resolved_latitude,resolved_longitude,manual_source_url,address_source_url,review_notes
inst-unmatched-st-gregory-s-college,St Gregory's College,St. Gregory's College,Q103037909,https://en.wikipedia.org/wiki/St._Gregory%27s_College,,,,,,suggested,Derived from Wikipedia/Wikidata page St. Gregory's College (Q103037909),St Christopher's Catholic Primary School,43503,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-st-joseph-s-college-echuca,St Joseph's College (Echuca),"St Joseph's College, Echuca",Q7589132,https://en.wikipedia.org/wiki/St_Joseph%27s_College%2C_Echuca,,,-36.11805556,144.74361111,,suggested,"Derived from Wikipedia/Wikidata page St Joseph's College, Echuca (Q7589132)",St Mary's School,45778,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-st-joseph-s-college-gregory-terrace,St Joseph's College Gregory Terrace,"St Joseph's College, Gregory Terrace",Q7593829,https://en.wikipedia.org/wiki/St_Joseph%27s_College%2C_Gregory_Terrace,Australia,Queensland,-27.45722222,153.02527778,school,suggested,"Derived from Wikipedia/Wikidata page St Joseph's College, Gregory Terrace (Q7593829)",Gilroy Santa Maria College,47864,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-st-leo-s-college,St Leo's College,St. Leo's College,Q7589515,https://en.wikipedia.org/wiki/St._Leo%27s_College,,,,,,suggested,Derived from Wikipedia/Wikidata page St. Leo's College (Q7589515),St Rose Catholic Primary School,43236,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-st-scholastica-s-college,St Scholastica's College,Saint Scholastica's College,Q7595451,https://en.wikipedia.org/wiki/Saint_Scholastica%27s_College,Australia,New South Wales,,,high school,suggested,Derived from Wikipedia/Wikidata page Saint Scholastica's College (Q7595451),St Joseph's Primary School,43513,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-stirling-college,Stirling College,Stirling Theological College,Q7617584,https://en.wikipedia.org/wiki/Stirling_Theological_College,Australia,Victoria,-37.928,145.195,academic institution,suggested,Derived from Wikipedia/Wikidata page Stirling Theological College (Q7617584),,,,pending,,,,,,,,,,,,,
inst-unmatched-strathfield-rosebank-college,Strathfield & Rosebank College,Inner West,Q12486609,https://en.wikipedia.org/wiki/Inner_West,Australia,New South Wales,,,,suggested,Derived from Wikipedia/Wikidata page Inner West (Q12486609),St Mary's Primary School,43511,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-stuartholme,Stuartholme,Stuartholme School,Q7627278,https://en.wikipedia.org/wiki/Stuartholme_School,Australia,Queensland,-27.4692,152.9738,nonprofit organization,suggested,Derived from Wikipedia/Wikidata page Stuartholme School (Q7627278),Graceview Adventist College,48017,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-swanbourne-high-school,Swanbourne High School,"Swanbourne, Western Australia",Q7653562,https://en.wikipedia.org/wiki/Swanbourne%2C_Western_Australia,,,-31.969,115.767,,suggested,"Derived from Wikipedia/Wikidata page Swanbourne, Western Australia (Q7653562)",Shenton College,48250,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-the-don-college,The DON College,Don College,Q7730628,https://en.wikipedia.org/wiki/Don_College,Australia,Tasmania,-41.1675,146.3332,secondary school,suggested,Derived from Wikipedia/Wikidata page Don College (Q7730628),Don College,50255,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-tintern-church-of-england-girls-grammar-,Tintern Church of England Girls Grammar School,Tintern Grammar,Q7808498,https://en.wikipedia.org/wiki/Tintern_Grammar,Australia,City of Maroondah,-37.81555556,145.25944444,combined school,suggested,Derived from Wikipedia/Wikidata page Tintern Grammar (Q7808498),,,,pending,,,,,,,,,,,,,
inst-unmatched-ulverstone-high-school,Ulverstone High School,Ulverstone Secondary College,Q7880854,https://en.wikipedia.org/wiki/Ulverstone_Secondary_College,Australia,Tasmania,-41.16187,146.17098,high school,suggested,Derived from Wikipedia/Wikidata page Ulverstone Secondary College (Q7880854),Moonah Primary School,40115,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-university-senior-college-adelaide,"University Senior College, Adelaide",Adelaide University,Q123125135,https://en.wikipedia.org/wiki/Adelaide_University,Australia,,-34.552572,138.352591,university,suggested,Derived from Wikipedia/Wikidata page Adelaide University (Q123125135),University Senior College at Adelaide University - Jordan Campus,40700,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-victorian-school-of-correspondence,Victorian School of Correspondence,Victorian letter writing guides,Q4363806,https://en.wikipedia.org/wiki/Victorian_letter_writing_guides,,,,,,suggested,Derived from Wikipedia/Wikidata page Victorian letter writing guides (Q4363806),Nyah District Primary School,45241,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
