parliament_number,member_id,member_display_name,raw_school_text,source_url,is_international,suggested_action,notes
48,aph-bfq,"POCOCK, Dr Barbara Ann AM",Norwood High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'BFQ',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-norwood-high-school
47,aph-bfq,"POCOCK, Dr Barbara Ann AM",Norwood High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'BFQ',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-norwood-high-school
48,aph-249308,"PRICE, the Hon. Melissa Lee",Prendiville Ladies College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '249308',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-prendiville-ladies-college
46,aph-249308,"PRICE, the Hon. Melissa Lee",Prendiville Ladies College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '249308',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-prendiville-ladies-college
47,aph-249308,"PRICE, the Hon. Melissa Lee",Prendiville Ladies College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '249308',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-prendiville-ladies-college
48,aph-298840,"REPACHOLI, Dan",Wilson Park Secondary College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '298840',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-wilson-park-secondary-college
47,aph-298840,"REPACHOLI, Dan",Wilson Park Secondary College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '298840',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-wilson-park-secondary-college
46,aph-250216,"REYNOLDS, the Hon. Linda Karen, CSC",St Brigid's Ladies College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '250216',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-st-brigid-s-ladies-college
47,aph-250216,"REYNOLDS, the Hon. Linda Karen, CSC",St Brigid's Ladies College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '250216',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-st-brigid-s-ladies-college
46,aph-155410,"RICE, Janet Elizabeth",Lowther Hall Anglican Girls School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '155410',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-lowther-hall-anglican-girls-school
47,aph-155410,"RICE, Janet Elizabeth",Lowther Hall Anglican Girls School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '155410',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-lowther-hall-anglican-girls-school
46,aph-hwt,"ROBERT, the Hon. Stuart Rowland",Rockhampton Grammar School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HWT',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-rockhampton-grammar-school
47,aph-hwt,"ROBERT, the Hon. Stuart Rowland",Rockhampton Grammar School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HWT',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-rockhampton-grammar-school
48,aph-249224,"RYAN, Joanne Catherine",Mount St Joseph's College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '249224',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mount-st-joseph-s-college
46,aph-249224,"RYAN, Joanne Catherine",Mount St Joseph's College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '249224',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mount-st-joseph-s-college
47,aph-249224,"RYAN, Joanne Catherine",Mount St Joseph's College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '249224',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mount-st-joseph-s-college
48,aph-297660,"RYAN, Monique Marie","Loreto Convent, Toorak",https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '297660',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-loreto-convent-toorak
47,aph-297660,"RYAN, Monique Marie","Loreto Convent, Toorak",https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '297660',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-loreto-convent-toorak
46,aph-hze,"SESELJA, the Hon. Zdenko Matthew (Zed)",Padua Catholic College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HZE',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-padua-catholic-college
